,temperature
0,20.45893538510427
1,20.45893538510427
2,20.463357776403427
3,20.489892026409507
4,20.494314385112375
5,20.49873673915863
6,20.503159088548273
7,20.51200377335772
8,20.503159088548273
9,20.503159088548273
10,20.51200377335772
11,20.51200377335772
12,20.51200377335772
